_id,ปี,หน่วยนับ,โรงงานชีวภาพ,อำเภอ
1,2562,แห่ง,3,เมืองนครสวรรค์
2,2562,แห่ง,0,เก้าเลี้ยว
3,2562,แห่ง,0,โกรกพระ
4,2562,แห่ง,3,แม่เปิน
5,2562,แห่ง,9,แม่วงก์
6,2562,แห่ง,15,ไพศาลี
7,2562,แห่ง,4,ชุมแสง
8,2562,แห่ง,1,ชุมตาบง
9,2562,แห่ง,9,ตากฟ้า
10,2562,แห่ง,9,ตาคลี
11,2562,แห่ง,2,ท่าตะโก
12,2562,แห่ง,1,บรรพตพิสัย
13,2562,แห่ง,0,พยุหะคีรี
14,2562,แห่ง,12,ลาดยาว
15,2562,แห่ง,10,หนองบัว
16,2563,แห่ง,3,เมืองนครสวรรค์
17,2563,แห่ง,0,เก้าเลี้ยว
18,2563,แห่ง,0,โกรกพระ
19,2563,แห่ง,3,แม่เปิน
20,2563,แห่ง,10,แม่วงก์
21,2563,แห่ง,15,ไพศาลี
22,2563,แห่ง,4,ชุมแสง
23,2563,แห่ง,1,ชุมตาบง
24,2563,แห่ง,9,ตากฟ้า
25,2563,แห่ง,10,ตาคลี
26,2563,แห่ง,3,ท่าตะโก
27,2563,แห่ง,1,บรรพตพิสัย
28,2563,แห่ง,0,พยุหะคีรี
29,2563,แห่ง,12,ลาดยาว
30,2563,แห่ง,10,หนองบัว
31,2564,แห่ง,4,เมืองนครสวรรค์
32,2564,แห่ง,0,เก้าเลี้ยว
33,2564,แห่ง,0,โกรกพระ
34,2564,แห่ง,3,แม่เปิน
35,2564,แห่ง,10,แม่วงก์
36,2564,แห่ง,15,ไพศาลี
37,2564,แห่ง,4,ชุมแสง
38,2564,แห่ง,1,ชุมตาบง
39,2564,แห่ง,9,ตากฟ้า
40,2564,แห่ง,10,ตาคลี
41,2564,แห่ง,3,ท่าตะโก
42,2564,แห่ง,1,บรรพตพิสัย
43,2564,แห่ง,0,พยุหะคีรี
44,2564,แห่ง,12,ลาดยาว
45,2564,แห่ง,10,หนองบัว
46,2565,แห่ง,4,เมืองนครสวรรค์
47,2565,แห่ง,0,เก้าเลี้ยว
48,2565,แห่ง,0,โกรกพระ
49,2565,แห่ง,3,แม่เปิน
50,2565,แห่ง,10,แม่วงก์
51,2565,แห่ง,15,ไพศาลี
52,2565,แห่ง,4,ชุมแสง
53,2565,แห่ง,1,ชุมตาบง
54,2565,แห่ง,9,ตากฟ้า
55,2565,แห่ง,12,ตาคลี
56,2565,แห่ง,3,ท่าตะโก
57,2565,แห่ง,1,บรรพตพิสัย
58,2565,แห่ง,0,พยุหะคีรี
59,2565,แห่ง,12,ลาดยาว
60,2565,แห่ง,10,หนองบัว
61,2566,แห่ง,4,เมืองนครสวรรค์
62,2566,แห่ง,0,เก้าเลี้ยว
63,2566,แห่ง,0,โกรกพระ
64,2566,แห่ง,3,แม่เปิน
65,2566,แห่ง,10,แม่วงก์
66,2566,แห่ง,15,ไพศาลี
67,2566,แห่ง,4,ชุมแสง
68,2566,แห่ง,1,ชุมตาบง
69,2566,แห่ง,9,ตากฟ้า
70,2566,แห่ง,13,ตาคลี
71,2566,แห่ง,3,ท่าตะโก
72,2566,แห่ง,1,บรรพตพิสัย
73,2566,แห่ง,0,พยุหะคีรี
74,2566,แห่ง,12,ลาดยาว
75,2566,แห่ง,12,หนองบัว
76,2567,แห่ง,4,เมืองนครสวรรค์
77,2567,แห่ง,1,เก้าเลี้ยว
78,2567,แห่ง,0,โกรกพระ
79,2567,แห่ง,3,แม่เปิน
80,2567,แห่ง,10,แม่วงก์
81,2567,แห่ง,15,ไพศาลี
82,2567,แห่ง,4,ชุมแสง
83,2567,แห่ง,1,ชุมตาบง
84,2567,แห่ง,9,ตากฟ้า
85,2567,แห่ง,13,ตาคลี
86,2567,แห่ง,3,ท่าตะโก
87,2567,แห่ง,1,บรรพตพิสัย
88,2567,แห่ง,0,พยุหะคีรี
89,2567,แห่ง,12,ลาดยาว
90,2567,แห่ง,12,หนองบัว
